GEOid,GEOid2,GEOdisplay_label,HD01_S076,HD02_S076,HD01_S077,HD02_S077,HD01_S078,HD02_S078,HD01_S079,HD02_S079,HD01_S080,HD02_S080,HD01_S081,HD02_S081,HD01_S082,HD02_S082,HD01_S083,HD02_S083,HD01_S084,HD02_S084,HD01_S085,HD02_S085,HD01_S086,HD02_S086,HD01_S087,HD02_S087,HD01_S088,HD02_S088,HD01_S089,HD02_S089,HD01_S090,HD02_S090,HD01_S091,HD02_S091,HD01_S092,HD02_S092,HD01_S093,HD02_S093,HD01_S094,HD02_S094,HD01_S095,HD02_S095,HD01_S096,HD02_S096,HD01_S097,HD02_S097,HD01_S098,HD02_S098,HD01_S099,HD02_S099,HD01_S100,HD02_S100,HD01_S101,HD02_S101,HD01_S102,HD02_S102,HD01_S103,HD02_S103,HD01_S104,HD02_S104,HD01_S105,HD02_S105,HD01_S106,HD02_S106,HD01_S107,HD02_S107,HD01_S108,HD02_S108,HD01_S109,HD02_S109,HD01_S110,HD02_S110,HD01_S111,HD02_S111,HD01_S112,HD02_S112,HD01_S113,HD02_S113,HD01_S114,HD02_S114,HD01_S115,HD02_S115,HD01_S116,HD02_S116,HD01_S117,HD02_S117,HD01_S118,HD02_S118,HD01_S119,HD02_S119,HD01_S120,HD02_S120,HD01_S121,HD02_S121,HD01_S122,HD02_S122,HD01_S123,HD02_S123,HD01_S124,HD02_S124,HD01_S125,HD02_S125,HD01_S126,HD02_S126,HD01_S127,HD02_S127,HD01_S128,HD02_S128,HD01_S129,HD02_S129
1400000US36047028501,36047028501,"Census Tract 285.01, Kings County, New York",428,100.0,408,95.3,135,31.5,85,19.9,5,1.2,11,2.6,0,0.0,5,1.2,0,0.0,2,0.5,4,0.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,172,40.2,20,4.7,1,0.2,0,0.0,3,0.7,4,0.9,146,34.1,90,21.0,9,2.1,12,2.8,9,2.1,186,43.5,428,100.0,249,58.2,162,37.9,55,12.9,4,0.9,28,6.5,179,41.8,428,100.0,249,58.2,54,12.6,11,2.6,1,0.2,0,0.0,0,0.0,170,39.7,13,3.0,179,41.8,81,18.9,74,17.3,4,0.9,11,2.6,0,0.0,2,0.5,7,1.6
1400000US36047028502,36047028502,"Census Tract 285.02, Kings County, New York",2802,100.0,2665,95.1,497,17.7,1566,55.9,30,1.1,8,0.3,0,0.0,8,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,564,20.1,137,4.9,1,0.0,1,0.0,25,0.9,37,1.3,572,20.4,1638,58.5,52,1.9,12,0.4,19,0.7,657,23.4,2802,100.0,1365,48.7,16,0.6,883,31.5,10,0.4,456,16.3,1437,51.3,2802,100.0,1365,48.7,486,17.3,177,6.3,25,0.9,0,0.0,0,0.0,564,20.1,113,4.0,1437,51.3,11,0.4,1389,49.6,5,0.2,8,0.3,0,0.0,0,0.0,24,0.9
1400000US36047028600,36047028600,"Census Tract 286, Kings County, New York",4814,100.0,4728,98.2,3098,64.4,161,3.3,9,0.2,1124,23.3,98,2.0,603,12.5,14,0.3,1,0.0,11,0.2,6,0.1,391,8.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,336,7.0,86,1.8,6,0.1,28,0.6,7,0.1,24,0.5,3168,65.8,183,3.8,23,0.5,1160,24.1,8,0.2,365,7.6,4814,100.0,611,12.7,179,3.7,252,5.2,10,0.2,170,3.5,4203,87.3,4814,100.0,611,12.7,210,4.4,35,0.7,6,0.1,3,0.1,0,0.0,324,6.7,33,0.7,4203,87.3,2888,60.0,126,2.6,3,0.1,1121,23.3,0,0.0,12,0.2,53,1.1
1400000US36047028700,36047028700,"Census Tract 287, Kings County, New York",2991,100.0,2857,95.5,593,19.8,1378,46.1,31,1.0,259,8.7,4,0.1,221,7.4,5,0.2,5,0.2,5,0.2,2,0.1,17,0.6,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,595,19.9,134,4.5,1,0.0,3,0.1,20,0.7,63,2.1,690,23.1,1433,47.9,44,1.5,268,9.0,12,0.4,692,23.1,2991,100.0,1199,40.1,245,8.2,519,17.4,14,0.5,421,14.1,1792,59.9,2991,100.0,1199,40.1,312,10.4,164,5.5,22,0.7,4,0.1,1,0.0,591,19.8,105,3.5,1792,59.9,281,9.4,1214,40.6,9,0.3,255,8.5,0,0.0,4,0.1,29,1.0
1400000US36047028800,36047028800,"Census Tract 288, Kings County, New York",3458,100.0,3404,98.4,1766,51.1,34,1.0,29,0.8,1209,35.0,63,1.8,1003,29.0,3,0.1,1,0.0,11,0.3,35,1.0,93,2.7,3,0.1,0,0.0,0,0.0,0,0.0,3,0.1,363,10.5,54,1.6,1,0.0,25,0.7,1,0.0,19,0.5,1813,52.4,35,1.0,31,0.9,1241,35.9,4,0.1,389,11.2,3458,100.0,652,18.9,262,7.6,79,2.3,2,0.1,309,8.9,2806,81.1,3458,100.0,652,18.9,240,6.9,2,0.1,28,0.8,2,0.1,3,0.1,354,10.2,23,0.7,2806,81.1,1526,44.1,32,0.9,1,0.0,1207,34.9,0,0.0,9,0.3,31,0.9
1400000US36047028900,36047028900,"Census Tract 289, Kings County, New York",3538,100.0,3422,96.7,426,12.0,2287,64.6,39,1.1,90,2.5,2,0.1,58,1.6,1,0.0,3,0.1,0,0.0,1,0.0,25,0.7,4,0.1,0,0.0,0,0.0,0,0.0,4,0.1,576,16.3,116,3.3,2,0.1,6,0.2,23,0.7,12,0.3,480,13.6,2376,67.2,61,1.7,107,3.0,11,0.3,631,17.8,3538,100.0,1108,31.3,133,3.8,478,13.5,20,0.6,477,13.5,2430,68.7,3538,100.0,1108,31.3,265,7.5,173,4.9,32,0.9,5,0.1,4,0.1,561,15.9,68,1.9,2430,68.7,161,4.6,2114,59.8,7,0.2,85,2.4,0,0.0,15,0.4,48,1.4
1400000US36047029000,36047029000,"Census Tract 290, Kings County, New York",3920,100.0,3840,98.0,2873,73.3,47,1.2,5,0.1,730,18.6,29,0.7,547,14.0,1,0.0,1,0.0,25,0.6,7,0.2,120,3.1,4,0.1,0,0.0,3,0.1,0,0.0,1,0.0,181,4.6,80,2.0,0,0.0,43,1.1,7,0.2,23,0.6,2948,75.2,55,1.4,9,0.2,775,19.8,5,0.1,209,5.3,3920,100.0,416,10.6,98,2.5,161,4.1,7,0.2,150,3.8,3504,89.4,3920,100.0,416,10.6,188,4.8,16,0.4,4,0.1,5,0.1,3,0.1,172,4.4,28,0.7,3504,89.4,2685,68.5,31,0.8,1,0.0,725,18.5,1,0.0,9,0.2,52,1.3
1400000US36047029100,36047029100,"Census Tract 291, Kings County, New York",3101,100.0,3025,97.5,215,6.9,2578,83.1,13,0.4,32,1.0,3,0.1,19,0.6,0,0.0,0,0.0,10,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,187,6.0,76,2.5,3,0.1,0,0.0,7,0.2,5,0.2,240,7.7,2644,85.3,34,1.1,42,1.4,4,0.1,228,7.4,3101,100.0,464,15.0,37,1.2,213,6.9,16,0.5,198,6.4,2637,85.0,3101,100.0,464,15.0,127,4.1,117,3.8,5,0.2,1,0.0,0,0.0,181,5.8,33,1.1,2637,85.0,88,2.8,2461,79.4,8,0.3,31,1.0,0,0.0,6,0.2,43,1.4
1400000US36047029200,36047029200,"Census Tract 292, Kings County, New York",2539,100.0,2479,97.6,1477,58.2,32,1.3,12,0.5,688,27.1,28,1.1,507,20.0,9,0.4,3,0.1,5,0.2,11,0.4,125,4.9,2,0.1,0,0.0,0,0.0,0,0.0,2,0.1,268,10.6,60,2.4,0,0.0,19,0.7,10,0.4,17,0.7,1527,60.1,49,1.9,18,0.7,713,28.1,4,0.2,291,11.5,2539,100.0,412,16.2,158,6.2,96,3.8,3,0.1,155,6.1,2127,83.8,2539,100.0,412,16.2,102,4.0,8,0.3,12,0.5,3,0.1,0,0.0,260,10.2,27,1.1,2127,83.8,1375,54.2,24,0.9,0,0.0,685,27.0,2,0.1,8,0.3,33,1.3
1400000US36047029300,36047029300,"Census Tract 293, Kings County, New York",3106,100.0,3023,97.3,131,4.2,2666,85.8,33,1.1,55,1.8,20,0.6,10,0.3,0,0.0,0,0.0,0,0.0,0,0.0,25,0.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,138,4.4,83,2.7,1,0.0,0,0.0,24,0.8,9,0.3,171,5.5,2735,88.1,60,1.9,70,2.3,1,0.0,163,5.2,3106,100.0,446,14.4,23,0.7,194,6.2,4,0.1,225,7.2,2660,85.6,3106,100.0,446,14.4,75,2.4,181,5.8,19,0.6,0,0.0,0,0.0,124,4.0,47,1.5,2660,85.6,56,1.8,2485,80.0,14,0.5,55,1.8,0,0.0,14,0.5,36,1.2
