GEOid,GEOid2,GEOdisplay_label,HD01_S076,HD02_S076,HD01_S077,HD02_S077,HD01_S078,HD02_S078,HD01_S079,HD02_S079,HD01_S080,HD02_S080,HD01_S081,HD02_S081,HD01_S082,HD02_S082,HD01_S083,HD02_S083,HD01_S084,HD02_S084,HD01_S085,HD02_S085,HD01_S086,HD02_S086,HD01_S087,HD02_S087,HD01_S088,HD02_S088,HD01_S089,HD02_S089,HD01_S090,HD02_S090,HD01_S091,HD02_S091,HD01_S092,HD02_S092,HD01_S093,HD02_S093,HD01_S094,HD02_S094,HD01_S095,HD02_S095,HD01_S096,HD02_S096,HD01_S097,HD02_S097,HD01_S098,HD02_S098,HD01_S099,HD02_S099,HD01_S100,HD02_S100,HD01_S101,HD02_S101,HD01_S102,HD02_S102,HD01_S103,HD02_S103,HD01_S104,HD02_S104,HD01_S105,HD02_S105,HD01_S106,HD02_S106,HD01_S107,HD02_S107,HD01_S108,HD02_S108,HD01_S109,HD02_S109,HD01_S110,HD02_S110,HD01_S111,HD02_S111,HD01_S112,HD02_S112,HD01_S113,HD02_S113,HD01_S114,HD02_S114,HD01_S115,HD02_S115,HD01_S116,HD02_S116,HD01_S117,HD02_S117,HD01_S118,HD02_S118,HD01_S119,HD02_S119,HD01_S120,HD02_S120,HD01_S121,HD02_S121,HD01_S122,HD02_S122,HD01_S123,HD02_S123,HD01_S124,HD02_S124,HD01_S125,HD02_S125,HD01_S126,HD02_S126,HD01_S127,HD02_S127,HD01_S128,HD02_S128,HD01_S129,HD02_S129
1400000US36047000100,36047000100,"Census Tract 1, Kings County, New York",4338,100.0,4249,97.9,3396,78.3,427,9.8,15,0.3,330,7.6,48,1.1,134,3.1,34,0.8,23,0.5,48,1.1,2,0.0,41,0.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,81,1.9,89,2.1,8,0.2,35,0.8,17,0.4,9,0.2,3471,80.0,462,10.7,30,0.7,370,8.5,2,0.0,100,2.3,4338,100.0,347,8.0,35,0.8,130,3.0,17,0.4,165,3.8,3991,92.0,4338,100.0,347,8.0,230,5.3,19,0.4,5,0.1,6,0.1,0,0.0,62,1.4,25,0.6,3991,92.0,3166,73.0,408,9.4,10,0.2,324,7.5,0,0.0,19,0.4,64,1.5
1400000US36047000200,36047000200,"Census Tract 2, Kings County, New York",1470,100.0,1431,97.3,530,36.1,103,7.0,16,1.1,49,3.3,14,1.0,24,1.6,1,0.1,1,0.1,0,0.0,0,0.0,9,0.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,733,49.9,39,2.7,0,0.0,0,0.0,2,0.1,17,1.2,552,37.6,109,7.4,28,1.9,53,3.6,2,0.1,768,52.2,1470,100.0,1277,86.9,471,32.0,434,29.5,6,0.4,366,24.9,193,13.1,1470,100.0,1277,86.9,457,31.1,36,2.4,15,1.0,1,0.1,0,0.0,732,49.8,36,2.4,193,13.1,73,5.0,67,4.6,1,0.1,48,3.3,0,0.0,1,0.1,3,0.2
1400000US36047000301,36047000301,"Census Tract 3.01, Kings County, New York",4259,100.0,4137,97.1,3658,85.9,180,4.2,6,0.1,241,5.7,34,0.8,86,2.0,20,0.5,13,0.3,39,0.9,4,0.1,45,1.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,52,1.2,122,2.9,2,0.0,56,1.3,29,0.7,15,0.4,3769,88.5,215,5.0,9,0.2,313,7.3,12,0.3,68,1.6,4259,100.0,246,5.8,24,0.6,47,1.1,24,0.6,151,3.5,4013,94.2,4259,100.0,246,5.8,175,4.1,3,0.1,3,0.1,4,0.1,0,0.0,42,1.0,19,0.4,4013,94.2,3483,81.8,177,4.2,3,0.1,237,5.6,0,0.0,10,0.2,103,2.4
1400000US36047000501,36047000501,"Census Tract 5.01, Kings County, New York",4247,100.0,4109,96.8,3266,76.9,292,6.9,22,0.5,432,10.2,73,1.7,224,5.3,26,0.6,21,0.5,56,1.3,9,0.2,23,0.5,1,0.0,0,0.0,0,0.0,1,0.0,0,0.0,96,2.3,138,3.2,9,0.2,58,1.4,15,0.4,14,0.3,3381,79.6,341,8.0,57,1.3,498,11.7,3,0.1,124,2.9,4247,100.0,312,7.3,46,1.1,82,1.9,25,0.6,159,3.7,3935,92.7,4247,100.0,312,7.3,199,4.7,16,0.4,3,0.1,0,0.0,0,0.0,81,1.9,13,0.3,3935,92.7,3067,72.2,276,6.5,19,0.4,432,10.2,1,0.0,15,0.4,125,2.9
1400000US36047000502,36047000502,"Census Tract 5.02, Kings County, New York",2512,100.0,2430,96.7,2086,83.0,113,4.5,4,0.2,186,7.4,27,1.1,66,2.6,13,0.5,17,0.7,39,1.6,6,0.2,18,0.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,41,1.6,82,3.3,5,0.2,45,1.8,9,0.4,10,0.4,2156,85.8,131,5.2,14,0.6,235,9.4,2,0.1,57,2.3,2512,100.0,162,6.4,26,1.0,48,1.9,10,0.4,78,3.1,2350,93.6,2512,100.0,162,6.4,101,4.0,4,0.2,1,0.0,3,0.1,0,0.0,34,1.4,19,0.8,2350,93.6,1985,79.0,109,4.3,3,0.1,183,7.3,0,0.0,7,0.3,63,2.5
1400000US36047000700,36047000700,"Census Tract 7, Kings County, New York",3359,100.0,3242,96.5,2885,85.9,109,3.2,2,0.1,198,5.9,38,1.1,58,1.7,31,0.9,18,0.5,32,1.0,2,0.1,19,0.6,5,0.1,0,0.0,4,0.1,0,0.0,1,0.0,43,1.3,117,3.5,0,0.0,56,1.7,31,0.9,15,0.4,2993,89.1,151,4.5,6,0.2,263,7.8,6,0.2,62,1.8,3359,100.0,283,8.4,32,1.0,110,3.3,12,0.4,129,3.8,3076,91.6,3359,100.0,283,8.4,210,6.3,13,0.4,1,0.0,3,0.1,5,0.1,34,1.0,17,0.5,3076,91.6,2675,79.6,96,2.9,1,0.0,195,5.8,0,0.0,9,0.3,100,3.0
1400000US36047000900,36047000900,"Census Tract 9, Kings County, New York",4172,100.0,3965,95.0,3018,72.3,204,4.9,5,0.1,639,15.3,166,4.0,243,5.8,46,1.1,41,1.0,77,1.8,8,0.2,58,1.4,2,0.0,2,0.0,0,0.0,0,0.0,0,0.0,97,2.3,207,5.0,13,0.3,97,2.3,30,0.7,11,0.3,3190,76.5,272,6.5,36,0.9,767,18.4,4,0.1,134,3.2,4172,100.0,325,7.8,35,0.8,107,2.6,19,0.5,164,3.9,3847,92.2,4172,100.0,325,7.8,184,4.4,11,0.3,4,0.1,7,0.2,0,0.0,75,1.8,44,1.1,3847,92.2,2834,67.9,193,4.6,1,0.0,632,15.1,2,0.0,22,0.5,163,3.9
1400000US36047001100,36047001100,"Census Tract 11, Kings County, New York",84,100.0,82,97.6,36,42.9,19,22.6,0,0.0,10,11.9,4,4.8,6,7.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17,20.2,2,2.4,1,1.2,0,0.0,1,1.2,0,0.0,38,45.2,20,23.8,1,1.2,10,11.9,0,0.0,17,20.2,84,100.0,28,33.3,3,3.6,13,15.5,0,0.0,12,14.3,56,66.7,84,100.0,28,33.3,5,6.0,6,7.1,0,0.0,0,0.0,0,0.0,17,20.2,0,0.0,56,66.7,31,36.9,13,15.5,0,0.0,10,11.9,0,0.0,0,0.0,2,2.4
1400000US36047001300,36047001300,"Census Tract 13, Kings County, New York",2275,100.0,2218,97.5,1531,67.3,357,15.7,4,0.2,249,10.9,34,1.5,113,5.0,15,0.7,6,0.3,14,0.6,6,0.3,61,2.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,77,3.4,57,2.5,8,0.4,13,0.6,11,0.5,10,0.4,1582,69.5,382,16.8,22,1.0,263,11.6,2,0.1,90,4.0,2275,100.0,311,13.7,13,0.6,63,2.8,17,0.7,218,9.6,1964,86.3,2275,100.0,311,13.7,187,8.2,23,1.0,3,0.1,6,0.3,0,0.0,73,3.2,19,0.8,1964,86.3,1344,59.1,334,14.7,1,0.0,243,10.7,0,0.0,4,0.2,38,1.7
1400000US36047001500,36047001500,"Census Tract 15, Kings County, New York",3521,100.0,3359,95.4,1350,38.3,1320,37.5,25,0.7,406,11.5,66,1.9,231,6.6,11,0.3,21,0.6,36,1.0,3,0.1,38,1.1,2,0.1,0,0.0,0,0.0,0,0.0,2,0.1,256,7.3,162,4.6,10,0.3,33,0.9,30,0.9,34,1.0,1467,41.7,1396,39.6,52,1.5,449,12.8,13,0.4,318,9.0,3521,100.0,811,23.0,108,3.1,388,11.0,19,0.5,296,8.4,2710,77.0,3521,100.0,811,23.0,361,10.3,111,3.2,4,0.1,7,0.2,2,0.1,244,6.9,82,2.3,2710,77.0,989,28.1,1209,34.3,21,0.6,399,11.3,0,0.0,12,0.3,80,2.3
1400000US36047001800,36047001800,"Census Tract 18, Kings County, New York",2105,100.0,2048,97.3,1204,57.2,774,36.8,4,0.2,33,1.6,4,0.2,20,1.0,0,0.0,0,0.0,0,0.0,1,0.0,8,0.4,3,0.1,0,0.0,0,0.0,0,0.0,3,0.1,30,1.4,57,2.7,0,0.0,4,0.2,5,0.2,31,1.5,1244,59.1,783,37.2,4,0.2,46,2.2,16,0.8,69,3.3,2105,100.0,1199,57.0,106,5.0,115,5.5,11,0.5,967,45.9,906,43.0,2105,100.0,1199,57.0,935,44.4,190,9.0,1,0.0,0,0.0,1,0.0,30,1.4,42,2.0,906,43.0,269,12.8,584,27.7,3,0.1,33,1.6,2,0.1,0,0.0,15,0.7
1400000US36047002000,36047002000,"Census Tract 20, Kings County, New York",1672,100.0,1563,93.5,629,37.6,100,6.0,52,3.1,77,4.6,3,0.2,25,1.5,47,2.8,0,0.0,0,0.0,1,0.1,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,705,42.2,109,6.5,3,0.2,1,0.1,10,0.6,52,3.1,702,42.0,148,8.9,58,3.5,85,5.1,1,0.1,794,47.5,1672,100.0,1473,88.1,601,35.9,376,22.5,2,0.1,494,29.5,199,11.9,1672,100.0,1473,88.1,576,34.4,50,3.0,48,2.9,0,0.0,0,0.0,701,41.9,98,5.9,199,11.9,53,3.2,50,3.0,4,0.2,77,4.6,0,0.0,4,0.2,11,0.7
1400000US36047002100,36047002100,"Census Tract 21, Kings County, New York",3604,100.0,3452,95.8,2820,78.2,227,6.3,7,0.2,343,9.5,60,1.7,120,3.3,31,0.9,31,0.9,63,1.7,5,0.1,33,0.9,2,0.1,1,0.0,0,0.0,0,0.0,1,0.0,53,1.5,152,4.2,11,0.3,77,2.1,24,0.7,9,0.2,2948,81.8,274,7.6,32,0.9,428,11.9,7,0.2,74,2.1,3604,100.0,315,8.7,41,1.1,119,3.3,30,0.8,125,3.5,3289,91.3,3604,100.0,315,8.7,219,6.1,28,0.8,2,0.1,4,0.1,0,0.0,40,1.1,22,0.6,3289,91.3,2601,72.2,199,5.5,5,0.1,339,9.4,2,0.1,13,0.4,130,3.6
1400000US36047002200,36047002200,"Census Tract 22, Kings County, New York",4613,100.0,4381,95.0,2034,44.1,319,6.9,118,2.6,540,11.7,18,0.4,398,8.6,74,1.6,4,0.1,10,0.2,19,0.4,17,0.4,1,0.0,0,0.0,1,0.0,0,0.0,0,0.0,1369,29.7,232,5.0,14,0.3,8,0.2,35,0.8,89,1.9,2204,47.8,406,8.8,156,3.4,580,12.6,15,0.3,1513,32.8,4613,100.0,3002,65.1,979,21.2,1068,23.2,24,0.5,931,20.2,1611,34.9,4613,100.0,3002,65.1,1249,27.1,121,2.6,101,2.2,5,0.1,0,0.0,1349,29.2,177,3.8,1611,34.9,785,17.0,198,4.3,17,0.4,535,11.6,1,0.0,20,0.4,55,1.2
1400000US36047002300,36047002300,"Census Tract 23, Kings County, New York",4247,100.0,4068,95.8,448,10.5,2427,57.1,34,0.8,661,15.6,19,0.4,576,13.6,0,0.0,12,0.3,4,0.1,0,0.0,50,1.2,9,0.2,0,0.0,0,0.0,0,0.0,9,0.2,489,11.5,179,4.2,2,0.0,13,0.3,17,0.4,28,0.7,519,12.2,2534,59.7,71,1.7,697,16.4,31,0.7,588,13.8,4247,100.0,1248,29.4,43,1.0,741,17.4,17,0.4,447,10.5,2999,70.6,4247,100.0,1248,29.4,416,9.8,196,4.6,28,0.7,12,0.3,1,0.0,476,11.2,119,2.8,2999,70.6,32,0.8,2231,52.5,6,0.1,649,15.3,8,0.2,13,0.3,60,1.4
1400000US36047002901,36047002901,"Census Tract 29.01, Kings County, New York",3218,100.0,3083,95.8,336,10.4,1967,61.1,27,0.8,295,9.2,13,0.4,256,8.0,1,0.0,1,0.0,0,0.0,0,0.0,24,0.7,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,457,14.2,135,4.2,3,0.1,3,0.1,13,0.4,31,1.0,395,12.3,2054,63.8,57,1.8,316,9.8,6,0.2,535,16.6,3218,100.0,967,30.0,45,1.4,550,17.1,11,0.3,361,11.2,2251,70.0,3218,100.0,967,30.0,271,8.4,145,4.5,9,0.3,2,0.1,0,0.0,453,14.1,87,2.7,2251,70.0,65,2.0,1822,56.6,18,0.6,293,9.1,1,0.0,4,0.1,48,1.5
1400000US36047003000,36047003000,"Census Tract 30, Kings County, New York",1730,100.0,1654,95.6,1246,72.0,46,2.7,2,0.1,257,14.9,21,1.2,153,8.8,32,1.8,7,0.4,22,1.3,0,0.0,22,1.3,1,0.1,0,0.0,0,0.0,0,0.0,1,0.1,102,5.9,76,4.4,5,0.3,34,2.0,15,0.9,18,1.0,1319,76.2,63,3.6,7,0.4,293,16.9,2,0.1,122,7.1,1730,100.0,295,17.1,45,2.6,111,6.4,9,0.5,130,7.5,1435,82.9,1730,100.0,295,17.1,157,9.1,7,0.4,1,0.1,0,0.0,1,0.1,101,5.8,28,1.6,1435,82.9,1089,62.9,39,2.3,1,0.1,257,14.9,0,0.0,1,0.1,48,2.8
1400000US36047003100,36047003100,"Census Tract 31, Kings County, New York",2472,100.0,2327,94.1,607,24.6,1187,48.0,5,0.2,421,17.0,135,5.5,139,5.6,47,1.9,8,0.3,16,0.6,5,0.2,71,2.9,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0,106,4.3,145,5.9,0,0.0,19,0.8,52,2.1,11,0.4,707,28.6,1295,52.4,28,1.1,464,18.8,8,0.3,139,5.6,2472,100.0,273,11.0,10,0.4,122,4.9,14,0.6,127,5.1,2199,89.0,2472,100.0,273,11.0,75,3.0,60,2.4,2,0.1,5,0.2,0,0.0,98,4.0,33,1.3,2199,89.0,532,21.5,1127,45.6,3,0.1,416,16.8,1,0.0,8,0.3,112,4.5
1400000US36047003300,36047003300,"Census Tract 33, Kings County, New York",2327,100.0,2213,95.1,1283,55.1,565,24.3,3,0.1,209,9.0,37,1.6,75,3.2,9,0.4,35,1.5,26,1.1,9,0.4,18,0.8,2,0.1,0,0.0,0,0.0,0,0.0,2,0.1,151,6.5,114,4.9,1,0.0,34,1.5,31,1.3,7,0.3,1369,58.8,630,27.1,14,0.6,264,11.3,11,0.5,167,7.2,2327,100.0,349,15.0,64,2.8,132,5.7,13,0.6,140,6.0,1978,85.0,2327,100.0,349,15.0,138,5.9,44,1.9,1,0.0,5,0.2,0,0.0,140,6.0,21,0.9,1978,85.0,1145,49.2,521,22.4,2,0.1,204,8.8,2,0.1,11,0.5,93,4.0
1400000US36047003400,36047003400,"Census Tract 34, Kings County, New York",3047,100.0,2959,97.1,2272,74.6,36,1.2,11,0.4,520,17.1,49,1.6,369,12.1,30,1.0,4,0.1,18,0.6,2,0.1,48,1.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,120,3.9,88,2.9,3,0.1,32,1.1,13,0.4,17,0.6,2342,76.9,60,2.0,19,0.6,563,18.5,6,0.2,149,4.9,3047,100.0,420,13.8,70,2.3,151,5.0,15,0.5,184,6.0,2627,86.2,3047,100.0,420,13.8,239,7.8,15,0.5,9,0.3,5,0.2,0,0.0,119,3.9,33,1.1,2627,86.2,2033,66.7,21,0.7,2,0.1,515,16.9,0,0.0,1,0.0,55,1.8
1400000US36047003500,36047003500,"Census Tract 35, Kings County, New York",1554,100.0,1475,94.9,637,41.0,655,42.1,19,1.2,113,7.3,17,1.1,41,2.6,11,0.7,22,1.4,15,1.0,3,0.2,4,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,51,3.3,79,5.1,2,0.1,23,1.5,18,1.2,3,0.2,693,44.6,700,45.0,35,2.3,144,9.3,6,0.4,64,4.1,1554,100.0,163,10.5,12,0.8,73,4.7,6,0.4,72,4.6,1391,89.5,1554,100.0,163,10.5,57,3.7,27,1.7,3,0.2,3,0.2,0,0.0,48,3.1,25,1.6,1391,89.5,580,37.3,628,40.4,16,1.0,110,7.1,0,0.0,3,0.2,54,3.5
1400000US36047003600,36047003600,"Census Tract 36, Kings County, New York",3804,100.0,3674,96.6,2824,74.2,67,1.8,6,0.2,642,16.9,53,1.4,377,9.9,30,0.8,15,0.4,30,0.8,15,0.4,122,3.2,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,134,3.5,130,3.4,7,0.2,55,1.4,19,0.5,21,0.6,2939,77.3,103,2.7,22,0.6,710,18.7,1,0.0,176,4.6,3804,100.0,541,14.2,33,0.9,269,7.1,31,0.8,208,5.5,3263,85.8,3804,100.0,541,14.2,347,9.1,10,0.3,4,0.1,6,0.2,0,0.0,124,3.3,50,1.3,3263,85.8,2477,65.1,57,1.5,2,0.1,636,16.7,1,0.0,10,0.3,80,2.1
1400000US36047003700,36047003700,"Census Tract 37, Kings County, New York",390,100.0,337,86.4,195,50.0,71,18.2,2,0.5,55,14.1,24,6.2,6,1.5,5,1.3,7,1.8,7,1.8,1,0.3,5,1.3,1,0.3,0,0.0,0,0.0,0,0.0,1,0.3,13,3.3,53,13.6,2,0.5,25,6.4,12,3.1,0,0.0,238,61.0,90,23.1,4,1.0,93,23.8,1,0.3,21,5.4,390,100.0,54,13.8,9,2.3,20,5.1,0,0.0,25,6.4,336,86.2,390,100.0,54,13.8,30,7.7,5,1.3,1,0.3,1,0.3,0,0.0,12,3.1,5,1.3,336,86.2,165,42.3,66,16.9,1,0.3,54,13.8,1,0.3,1,0.3,48,12.3
1400000US36047003800,36047003800,"Census Tract 38, Kings County, New York",1498,100.0,1457,97.3,1247,83.2,22,1.5,0,0.0,159,10.6,12,0.8,123,8.2,10,0.7,0,0.0,2,0.1,0,0.0,12,0.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29,1.9,41,2.7,3,0.2,25,1.7,4,0.3,5,0.3,1286,85.8,27,1.8,4,0.3,186,12.4,3,0.2,34,2.3,1498,100.0,117,7.8,0,0.0,68,4.5,5,0.3,44,2.9,1381,92.2,1498,100.0,117,7.8,79,5.3,8,0.5,0,0.0,0,0.0,0,0.0,22,1.5,8,0.5,1381,92.2,1168,78.0,14,0.9,0,0.0,159,10.6,0,0.0,7,0.5,33,2.2
1400000US36047003900,36047003900,"Census Tract 39, Kings County, New York",2229,100.0,2082,93.4,1355,60.8,361,16.2,8,0.4,233,10.5,47,2.1,74,3.3,12,0.5,24,1.1,34,1.5,5,0.2,37,1.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,125,5.6,147,6.6,8,0.4,38,1.7,24,1.1,13,0.6,1446,64.9,430,19.3,56,2.5,288,12.9,0,0.0,167,7.5,2229,100.0,406,18.2,63,2.8,196,8.8,7,0.3,140,6.3,1823,81.8,2229,100.0,406,18.2,217,9.7,26,1.2,4,0.2,6,0.3,0,0.0,111,5.0,42,1.9,1823,81.8,1138,51.1,335,15.0,4,0.2,227,10.2,0,0.0,14,0.6,105,4.7
1400000US36047004100,36047004100,"Census Tract 41, Kings County, New York",3598,100.0,3480,96.7,2616,72.7,465,12.9,13,0.4,224,6.2,46,1.3,86,2.4,19,0.5,21,0.6,20,0.6,7,0.2,25,0.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,162,4.5,118,3.3,6,0.2,51,1.4,24,0.7,10,0.3,2720,75.6,514,14.3,32,0.9,281,7.8,1,0.0,181,5.0,3598,100.0,448,12.5,38,1.1,230,6.4,19,0.5,161,4.5,3150,87.5,3598,100.0,448,12.5,228,6.3,35,1.0,9,0.3,5,0.1,0,0.0,143,4.0,28,0.8,3150,87.5,2388,66.4,430,12.0,4,0.1,219,6.1,0,0.0,19,0.5,90,2.5
1400000US36047004300,36047004300,"Census Tract 43, Kings County, New York",3008,100.0,2889,96.0,2199,73.1,251,8.3,10,0.3,257,8.5,54,1.8,91,3.0,14,0.5,16,0.5,36,1.2,15,0.5,31,1.0,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0,171,5.7,119,4.0,6,0.2,46,1.5,18,0.6,10,0.3,2290,76.1,289,9.6,25,0.8,330,11.0,9,0.3,195,6.5,3008,100.0,536,17.8,48,1.6,266,8.8,16,0.5,206,6.8,2472,82.2,3008,100.0,536,17.8,312,10.4,32,1.1,5,0.2,3,0.1,0,0.0,160,5.3,24,0.8,2472,82.2,1887,62.7,219,7.3,5,0.2,254,8.4,1,0.0,11,0.4,95,3.2
1400000US36047004400,36047004400,"Census Tract 44, Kings County, New York",2359,100.0,2336,99.0,2161,91.6,17,0.7,0,0.0,140,5.9,12,0.5,91,3.9,10,0.4,3,0.1,7,0.3,1,0.0,16,0.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,18,0.8,23,1.0,4,0.2,7,0.3,2,0.1,3,0.1,2180,92.4,21,0.9,6,0.3,152,6.4,0,0.0,26,1.1,2359,100.0,105,4.5,17,0.7,54,2.3,8,0.3,26,1.1,2254,95.5,2359,100.0,105,4.5,80,3.4,2,0.1,0,0.0,0,0.0,0,0.0,18,0.8,5,0.2,2254,95.5,2081,88.2,15,0.6,0,0.0,140,5.9,0,0.0,0,0.0,18,0.8
1400000US36047004500,36047004500,"Census Tract 45, Kings County, New York",3325,100.0,3243,97.5,2931,88.2,80,2.4,3,0.1,189,5.7,35,1.1,73,2.2,17,0.5,19,0.6,27,0.8,4,0.1,14,0.4,2,0.1,0,0.0,1,0.0,0,0.0,1,0.0,38,1.1,82,2.5,6,0.2,44,1.3,14,0.4,3,0.1,3004,90.3,106,3.2,16,0.5,240,7.2,3,0.1,44,1.3,3325,100.0,218,6.6,39,1.2,70,2.1,19,0.6,90,2.7,3107,93.4,3325,100.0,218,6.6,166,5.0,14,0.4,2,0.1,3,0.1,1,0.0,24,0.7,8,0.2,3107,93.4,2765,83.2,66,2.0,1,0.0,186,5.6,1,0.0,14,0.4,74,2.2
1400000US36047004600,36047004600,"Census Tract 46, Kings County, New York",1199,100.0,1186,98.9,1063,88.7,8,0.7,1,0.1,78,6.5,2,0.2,50,4.2,0,0.0,1,0.1,3,0.3,0,0.0,22,1.8,1,0.1,0,0.0,1,0.1,0,0.0,0,0.0,35,2.9,13,1.1,2,0.2,5,0.4,0,0.0,6,0.5,1076,89.7,8,0.7,3,0.3,83,6.9,1,0.1,41,3.4,1199,100.0,100,8.3,2,0.2,43,3.6,15,1.3,40,3.3,1099,91.7,1199,100.0,100,8.3,64,5.3,0,0.0,0,0.0,1,0.1,0,0.0,31,2.6,4,0.3,1099,91.7,999,83.3,8,0.7,1,0.1,77,6.4,1,0.1,4,0.3,9,0.8
1400000US36047004700,36047004700,"Census Tract 47, Kings County, New York",1445,100.0,1344,93.0,898,62.1,218,15.1,5,0.3,93,6.4,7,0.5,34,2.4,15,1.0,18,1.2,12,0.8,1,0.1,6,0.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,130,9.0,101,7.0,3,0.2,39,2.7,13,0.9,11,0.8,979,67.8,259,17.9,28,1.9,147,10.2,3,0.2,150,10.4,1445,100.0,358,24.8,23,1.6,209,14.5,10,0.7,116,8.0,1087,75.2,1445,100.0,358,24.8,169,11.7,34,2.4,0,0.0,1,0.1,0,0.0,116,8.0,38,2.6,1087,75.2,729,50.4,184,12.7,5,0.3,92,6.4,0,0.0,14,1.0,63,4.4
1400000US36047004900,36047004900,"Census Tract 49, Kings County, New York",2516,100.0,2413,95.9,1875,74.5,259,10.3,2,0.1,183,7.3,43,1.7,66,2.6,26,1.0,12,0.5,13,0.5,3,0.1,20,0.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,94,3.7,103,4.1,10,0.4,33,1.3,17,0.7,16,0.6,1964,78.1,290,11.5,22,0.9,226,9.0,4,0.2,126,5.0,2516,100.0,318,12.6,33,1.3,165,6.6,12,0.5,108,4.3,2198,87.4,2516,100.0,318,12.6,183,7.3,16,0.6,0,0.0,1,0.0,0,0.0,79,3.1,39,1.6,2198,87.4,1692,67.2,243,9.7,2,0.1,182,7.2,0,0.0,15,0.6,64,2.5
1400000US36047005000,36047005000,"Census Tract 50, Kings County, New York",2276,100.0,2223,97.7,2027,89.1,25,1.1,1,0.0,125,5.5,12,0.5,81,3.6,2,0.1,4,0.2,16,0.7,0,0.0,10,0.4,2,0.1,0,0.0,2,0.1,0,0.0,0,0.0,43,1.9,53,2.3,5,0.2,27,1.2,4,0.2,10,0.4,2079,91.3,34,1.5,10,0.4,152,6.7,3,0.1,56,2.5,2276,100.0,198,8.7,23,1.0,76,3.3,23,1.0,76,3.3,2078,91.3,2276,100.0,198,8.7,125,5.5,16,0.7,1,0.0,0,0.0,0,0.0,39,1.7,17,0.7,2078,91.3,1902,83.6,9,0.4,0,0.0,125,5.5,2,0.1,4,0.2,36,1.6
1400000US36047005100,36047005100,"Census Tract 51, Kings County, New York",2171,100.0,2044,94.2,1646,75.8,95,4.4,5,0.2,159,7.3,12,0.6,53,2.4,45,2.1,10,0.5,23,1.1,4,0.2,12,0.6,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0,138,6.4,127,5.8,2,0.1,41,1.9,14,0.6,44,2.0,1754,80.8,128,5.9,16,0.7,212,9.8,4,0.2,193,8.9,2171,100.0,461,21.2,78,3.6,226,10.4,12,0.6,145,6.7,1710,78.8,2171,100.0,461,21.2,235,10.8,17,0.8,5,0.2,6,0.3,0,0.0,135,6.2,63,2.9,1710,78.8,1411,65.0,78,3.6,0,0.0,153,7.0,1,0.0,3,0.1,64,2.9
1400000US36047005201,36047005201,"Census Tract 52.01, Kings County, New York",1829,100.0,1798,98.3,1595,87.2,15,0.8,4,0.2,158,8.6,15,0.8,130,7.1,5,0.3,2,0.1,2,0.1,2,0.1,2,0.1,1,0.1,1,0.1,0,0.0,0,0.0,0,0.0,25,1.4,31,1.7,3,0.2,12,0.7,6,0.3,5,0.3,1622,88.7,24,1.3,9,0.5,174,9.5,2,0.1,32,1.7,1829,100.0,111,6.1,13,0.7,52,2.8,1,0.1,45,2.5,1718,93.9,1829,100.0,111,6.1,77,4.2,2,0.1,2,0.1,0,0.0,0,0.0,25,1.4,5,0.3,1718,93.9,1518,83.0,13,0.7,2,0.1,158,8.6,1,0.1,0,0.0,26,1.4
1400000US36047005202,36047005202,"Census Tract 52.02, Kings County, New York",2481,100.0,2426,97.8,2242,90.4,23,0.9,1,0.0,121,4.9,14,0.6,77,3.1,7,0.3,5,0.2,7,0.3,1,0.0,10,0.4,1,0.0,0,0.0,0,0.0,1,0.0,0,0.0,38,1.5,55,2.2,4,0.2,24,1.0,8,0.3,7,0.3,2290,92.3,40,1.6,6,0.2,153,6.2,3,0.1,47,1.9,2481,100.0,179,7.2,22,0.9,73,2.9,19,0.8,65,2.6,2302,92.8,2481,100.0,179,7.2,130,5.2,1,0.0,1,0.0,1,0.0,0,0.0,37,1.5,9,0.4,2302,92.8,2112,85.1,22,0.9,0,0.0,120,4.8,1,0.0,1,0.0,46,1.9
