Borough,District,Number,Tract,Total,White,Black_African_American,American_Indian_and_Alaska_Native,Asian,Native_Hawaiian_and_Other_Pacific_Islander,Some_Other_Race,Multiple,Hispanic
Brooklyn,047,3,012000,"1,268",108,2,0,"1,020",0,0,3,135
Brooklyn,047,3,012100,"1,619",836,83,1,102,0,3,52,542
Brooklyn,047,3,012200,"5,339",713,51,5,"2,099",0,5,42,"2,424"
Brooklyn,047,3,012600,"2,652","1,064",60,0,900,0,11,81,536
Brooklyn,047,3,012700,"3,507",720,"1,119",12,127,1,6,72,"1,450"
Brooklyn,047,3,012801,"2,117",684,21,0,"1,207",0,2,28,175
Brooklyn,047,3,012901,"2,159","1,159",250,4,138,1,4,66,537
Brooklyn,047,3,012902,"1,964","1,263",201,6,101,0,6,70,317
Brooklyn,047,3,013000,"4,792","2,532",79,4,897,1,14,132,"1,133"
Brooklyn,047,3,013100,"3,828","2,139",541,2,249,1,8,124,764
Brooklyn,047,3,013200,"2,239","1,048",13,0,821,0,2,33,322
Brooklyn,047,3,013300,"3,730","2,509",245,6,255,0,9,147,559
Brooklyn,047,3,013400,"3,907","2,550",74,2,575,0,10,89,607
Brooklyn,047,3,013500,"3,596","2,427",223,3,279,0,18,154,492
Brooklyn,047,3,013600,"3,927","2,662",30,7,454,1,7,99,667
Brooklyn,047,3,013700,"3,057","1,949",256,3,144,1,17,107,580
Brooklyn,047,3,013800,"3,168","2,206",47,4,395,1,11,49,455
Brooklyn,047,3,013900,"3,481","2,188",342,1,203,0,12,90,645
Brooklyn,047,3,014000,"1,826","1,444",15,0,150,0,6,25,186
Brooklyn,047,3,014100,"3,017","1,840",121,0,234,2,22,86,712
Brooklyn,047,3,014200,"3,223","2,142",45,9,449,0,9,62,507
Brooklyn,047,3,014300,"3,487","1,613",129,1,251,3,21,75,"1,394"
Brooklyn,047,3,014500,"4,179","1,825",197,7,201,2,34,91,"1,822"
Brooklyn,047,3,014700,"2,084",995,99,1,100,0,5,53,831
Brooklyn,047,3,014800,"1,209","1,042",5,0,83,0,0,3,76
Brooklyn,047,3,014900,"4,976","3,309",248,8,282,2,20,149,958
Brooklyn,047,3,015000,"1,574","1,297",0,0,180,0,0,8,89
Brooklyn,047,3,015100,"3,578","2,701",122,2,226,1,14,129,383
Brooklyn,047,3,015200,"2,309","1,615",24,0,354,1,8,46,261
Brooklyn,047,3,015300,"3,041","2,160",271,2,206,0,26,77,299
Brooklyn,047,3,015400,0,0,0,0,0,0,0,0,0
Brooklyn,047,3,015500,"3,272","2,564",147,4,174,0,8,96,279
Brooklyn,047,3,015700,"4,135","3,223",192,5,250,4,26,130,305
Brooklyn,047,3,015900,"5,036","3,845",382,9,260,1,33,163,343
Brooklyn,047,3,016000,"4,217","2,343",132,4,768,2,32,97,839
Brooklyn,047,3,016100,"3,075","1,869",450,3,208,3,10,115,417
Brooklyn,047,3,016200,"2,082","1,382",85,2,261,3,11,38,300
Brooklyn,047,3,016300,"2,991","1,533",756,11,203,0,15,126,347
Brooklyn,047,3,016400,764,239,188,7,47,0,10,29,244
Brooklyn,047,3,016500,"5,141","4,223",189,3,235,2,22,136,331
Brooklyn,047,3,016600,"2,059","1,884",3,1,80,0,1,17,73
Brooklyn,047,3,016700,"4,638","3,660",156,5,227,1,18,123,448
Brooklyn,047,3,016800,"1,510","1,151",1,7,243,0,7,16,85
Brooklyn,047,3,016900,"4,497","2,760",193,4,450,0,22,109,959
Brooklyn,047,3,017000,"3,254","1,829",16,5,"1,053",3,0,24,324
Brooklyn,047,3,017100,"3,749","2,970",94,3,272,0,14,90,306
Brooklyn,047,3,017200,"2,931","1,583",11,0,"1,000",0,3,32,302
Brooklyn,047,3,017400,"1,793","1,134",4,3,484,0,4,19,145
Brooklyn,047,3,017500,5,3,0,0,0,0,0,0,2
Brooklyn,047,3,017600,"2,295","1,221",24,1,642,0,0,42,365
Brooklyn,047,3,017700,0,0,0,0,0,0,0,0,0
Brooklyn,047,3,017800,"2,898","1,185",22,1,"1,129",0,19,41,501
Brooklyn,047,3,017900,"3,624",708,"2,156",3,165,2,5,101,484
Brooklyn,047,3,018000,"3,193","1,444",12,1,"1,040",4,5,28,659
Brooklyn,047,3,018100,"3,936","2,021","1,070",7,238,1,23,168,408
Brooklyn,047,3,018200,"3,163","1,185",15,1,"1,600",0,10,44,308
Brooklyn,047,3,018300,"2,500","1,343",577,0,155,0,7,127,291
Brooklyn,047,3,018400,"2,002","1,188",4,0,709,0,1,23,77
Brooklyn,047,3,018501,"3,827",203,"2,260",15,200,0,9,71,"1,069"
Brooklyn,047,3,018600,"2,124","1,072",23,0,861,0,4,25,139
Brooklyn,047,3,018700,"1,411",545,375,1,77,0,10,60,343
Brooklyn,047,3,018800,"2,640","1,482",15,0,820,0,9,16,298
Brooklyn,047,3,019000,"4,782","1,669",48,6,"1,852",5,13,62,"1,127"
Brooklyn,047,3,019100,"2,332",885,629,4,107,0,13,77,617
Brooklyn,047,3,019200,"2,772","1,437",24,0,788,0,9,51,463
Brooklyn,047,3,019300,"5,628","1,946","2,319",12,479,4,21,150,697
Brooklyn,047,3,019400,"3,305",982,14,1,"1,655",3,9,38,603
Brooklyn,047,3,019500,"3,366","1,320","1,262",9,186,0,12,137,440
Brooklyn,047,3,019600,"4,353","1,969",21,3,"1,495",0,6,27,832
Brooklyn,047,3,019700,"3,313","1,355","1,291",6,189,0,19,157,296
Brooklyn,047,3,019800,"1,702","1,141",5,0,275,0,2,19,260
Brooklyn,047,3,019900,"2,929","1,092","1,266",4,117,0,16,107,327
Brooklyn,047,3,020000,"2,265","1,369",7,2,487,0,4,13,383
Brooklyn,047,3,020100,"3,421","1,472","1,375",3,148,0,22,130,271
Brooklyn,047,3,020200,"1,874","1,360",9,0,363,0,6,11,125
Brooklyn,047,3,020300,"1,697",597,536,2,183,2,11,55,311
Brooklyn,047,3,020400,"1,708","1,382",8,1,188,0,4,8,117
Brooklyn,047,3,020500,"2,469","1,190",753,8,181,0,10,102,225
Brooklyn,047,3,020600,"2,220","1,616",13,3,289,0,0,36,263
Brooklyn,047,3,020700,"4,310","2,210","1,202",3,250,4,40,172,429
Brooklyn,047,3,020800,"3,048","1,342",14,1,"1,287",0,3,50,351
Brooklyn,047,3,021000,"3,968","1,645",27,1,"1,846",0,7,23,419
Brooklyn,047,3,021100,"1,210",147,545,2,39,0,4,23,450
Brooklyn,047,3,021200,"4,643","1,217",23,0,"2,845",0,2,45,511
Brooklyn,047,3,021300,"4,205",451,"3,155",15,51,0,11,101,421
Brooklyn,047,3,021400,"2,152","1,198",4,0,785,0,7,29,129
Brooklyn,047,3,021500,"5,307","1,960","2,282",7,291,3,20,198,546
Brooklyn,047,3,021600,"4,015","3,332",15,1,465,0,0,38,164
Brooklyn,047,3,021700,"3,597",673,"2,034",9,226,2,8,101,544
Brooklyn,047,3,021800,"3,761","3,297",6,5,158,0,8,8,279
Brooklyn,047,3,021900,"3,595",688,"2,361",11,127,0,21,78,309
Brooklyn,047,3,022000,"4,939","4,244",33,5,267,0,14,54,322
Brooklyn,047,3,022100,"3,609",582,"2,290",7,92,0,20,111,507
Brooklyn,047,3,022200,"4,693","3,977",18,0,136,0,10,38,514
Brooklyn,047,3,022400,"5,486","3,868",58,3,600,0,8,41,908
Brooklyn,047,3,022600,"2,516",612,16,18,475,0,1,33,"1,361"
Brooklyn,047,3,022700,"3,454",516,"2,431",8,143,0,17,94,245
Brooklyn,047,3,022800,"3,306","1,701",76,9,908,0,8,69,535
Brooklyn,047,3,022900,"3,395",728,"2,108",12,121,4,19,96,307
Brooklyn,047,3,023000,"4,515","3,273",47,5,251,0,2,53,884
Brooklyn,047,3,023100,"3,025",961,"1,464",8,137,1,16,113,325
Brooklyn,047,3,023200,"5,699","4,909",16,1,376,2,3,36,356
Brooklyn,047,3,023300,"5,061",785,"2,927",9,109,2,6,88,"1,135"
Brooklyn,047,3,023400,"5,059","4,924",10,0,10,0,14,27,74
Brooklyn,047,3,023500,"3,928","2,114",507,2,181,1,6,81,"1,036"
Brooklyn,047,3,023600,"5,600","5,249",8,5,241,0,10,34,53
Brooklyn,047,3,023800,"4,590","4,367",2,0,24,0,3,26,168
Brooklyn,047,3,024000,"4,693","4,378",38,2,57,0,1,25,192
Brooklyn,047,3,024100,"2,229",814,750,5,71,5,17,41,526
Brooklyn,047,3,024200,"2,984","2,624",5,0,159,0,2,4,190
Brooklyn,047,3,024300,"3,786",598,"2,426",9,100,0,20,83,550
Brooklyn,047,3,024400,"3,238","2,501",13,0,363,0,8,24,329
Brooklyn,047,3,024500,"3,946",371,"2,931",12,238,0,20,81,293
Brooklyn,047,3,024600,"3,256","2,064",19,2,871,0,1,14,285
Brooklyn,047,3,024700,"2,316",187,"1,682",3,186,0,20,64,174
Brooklyn,047,3,024800,"2,698","1,304",13,2,"1,051",0,5,14,309
Brooklyn,047,3,024900,"3,823",364,"2,924",5,76,3,26,102,323
Brooklyn,047,3,025000,"1,722",415,10,2,"1,065",0,0,19,211
Brooklyn,047,3,025100,"3,816",197,"2,671",8,140,4,6,62,728
Brooklyn,047,3,025200,"4,786","2,183",30,2,"1,779",0,8,63,721
Brooklyn,047,3,025300,"2,754",350,"1,703",4,88,4,6,78,521
Brooklyn,047,3,025400,"3,500","1,259",18,3,"1,804",0,6,41,369
Brooklyn,047,3,025500,"5,102",53,"2,164",24,70,2,5,64,"2,720"
Brooklyn,047,3,025600,"3,058","1,196",16,1,"1,612",0,5,36,192
Brooklyn,047,3,025700,"2,131",220,695,17,76,0,5,16,"1,102"
Brooklyn,047,3,025800,"4,597","2,195",35,7,"1,561",0,6,36,757
Brooklyn,047,3,025901,"2,010",213,823,1,38,1,1,30,903
Brooklyn,047,3,025902,"3,419",24,"1,701",8,33,1,0,48,"1,604"
Brooklyn,047,3,026000,"3,649","1,471",5,3,"1,741",7,8,44,370
Brooklyn,047,3,026100,"4,917",354,"3,042",15,74,0,17,91,"1,324"
Brooklyn,047,3,026200,"2,374",948,16,4,"1,086",0,3,25,292
Brooklyn,047,3,026300,"1,868",60,"1,386",5,25,0,1,33,358
Brooklyn,047,3,026400,"4,592","1,975",29,3,"1,566",5,16,38,960
Brooklyn,047,3,026500,"3,838",133,"2,963",18,68,3,16,77,560
Brooklyn,047,3,026600,"3,733","1,781",8,8,"1,459",1,5,34,437
Brooklyn,047,3,026700,"3,920",293,"3,122",9,53,1,11,84,347
Brooklyn,047,3,026800,"4,188","2,265",32,1,"1,232",0,9,45,604
Brooklyn,047,3,026900,"2,770",218,"2,169",8,76,0,11,59,229
Brooklyn,047,3,027000,"2,449","1,621",17,3,634,0,5,38,131
Brooklyn,047,3,027100,"2,471",40,"2,037",2,136,0,5,37,214
Brooklyn,047,3,027200,"3,480","1,699",8,4,"1,091",0,4,36,638
Brooklyn,047,3,027300,"2,813",127,"2,401",6,52,0,5,55,167
Brooklyn,047,3,027400,"3,028","1,504",11,1,"1,200",0,2,59,251
Brooklyn,047,3,027500,"4,180",250,"3,300",38,98,0,11,84,399
Brooklyn,047,3,027600,"3,694","1,547",28,14,"1,324",0,14,30,737
Brooklyn,047,3,027700,"3,945",99,"3,416",6,22,1,10,36,355
Brooklyn,047,3,027800,"3,220","1,711",19,8,949,0,3,30,500
Brooklyn,047,3,027900,"3,674",103,"3,055",9,32,0,11,60,404
Brooklyn,047,3,028000,"1,761",873,7,0,631,1,2,7,240
Brooklyn,047,3,028100,"4,193",110,"2,456",9,33,1,12,41,"1,531"
Brooklyn,047,3,028200,"2,943","1,706",26,0,925,0,7,29,250
Brooklyn,047,3,028300,"4,097",170,"2,306",13,45,0,18,38,"1,507"
